cohort	ensembl_gene	gene_name	type	nr_samples	pos_z	neg_z	consensus_BTG_cancer	consensus_BTG_combined
three-cancer	ENSG00000130305	NSUN5	UCEC	1	1	0		
three-cancer	ENSG00000130311	DDA1	UCEC	1	1	0		
three-cancer	ENSG00000130312	MRPL34	PRAD	1	0	1		
three-cancer	ENSG00000130313	PGLS	OV	1	0	1		
three-cancer	ENSG00000130313	PGLS	PRAD	1	0	1		
three-cancer	ENSG00000130313	PGLS	UCEC	1	0	1		
three-cancer	ENSG00000130332	LSM7	UCEC	1	0	1		
three-cancer	ENSG00000130338	TULP4	UCEC	1	0	1		
three-cancer	ENSG00000130340	SNX9	CONTROL	1	1	0		
three-cancer	ENSG00000130340	SNX9	OV	1	1	0		
three-cancer	ENSG00000130396	AFDN	PRAD	1	1	0		
three-cancer	ENSG00000130449	ZSWIM6	OV	1	0	1		
three-cancer	ENSG00000130475	FCHO1	CONTROL	1	0	1		
three-cancer	ENSG00000130511	SSBP4	CONTROL	1	0	1		
three-cancer	ENSG00000130520	LSM4	OV	1	0	1		
three-cancer	ENSG00000130522	JUND	OV	1	0	1		
three-cancer	ENSG00000130560	UBAC1	UCEC	1	0	1		
three-cancer	ENSG00000130592	LSP1	PRAD	1	0	1		
three-cancer	ENSG00000130592	LSP1	UCEC	1	0	1		
three-cancer	ENSG00000130595	TNNT3	PRAD	1	1	0		
three-cancer	ENSG00000130635	COL5A1	OV	1	1	0		
three-cancer	ENSG00000130640	TUBGCP2	OV	1	0	1		
three-cancer	ENSG00000130703	OSBPL2	UCEC	1	0	1		
three-cancer	ENSG00000130726	TRIM28	OV	1	0	1		
three-cancer	ENSG00000130726	TRIM28	UCEC	1	0	1		
three-cancer	ENSG00000130731	METTL26	CONTROL	1	0	1		
three-cancer	ENSG00000130731	METTL26	PRAD	1	0	1		
three-cancer	ENSG00000130749	ZC3H4	CONTROL	1	0	1		
three-cancer	ENSG00000130755	GMFG	UCEC	1	0	1		
three-cancer	ENSG00000130764	LRRC47	OV	1	0	1		
three-cancer	ENSG00000130770	ATP5IF1	OV	1	0	1		
three-cancer	ENSG00000130816	DNMT1	CONTROL	1	1	0		
three-cancer	ENSG00000131018	SYNE1	OV	1	0	1		
three-cancer	ENSG00000131018	SYNE1	UCEC	1	0	1		
three-cancer	ENSG00000131055	COX4I2	UCEC	1	1	0		
three-cancer	ENSG00000131095	GFAP	OV	1	1	0		
three-cancer	ENSG00000131174	COX7B	PRAD	1	0	1		
three-cancer	ENSG00000131188	PRR7	CONTROL	1	0	1		
three-cancer	ENSG00000131196	NFATC1	PRAD	1	1	0		
three-cancer	ENSG00000131196	NFATC1	UCEC	1	1	0		
three-cancer	ENSG00000131263	RLIM	CONTROL	1	0	1		
three-cancer	ENSG00000131323	TRAF3	CONTROL	1	0	1		
three-cancer	ENSG00000131370	SH3BP5	OV	1	1	0		
three-cancer	ENSG00000131374	TBC1D5	CONTROL	1	0	1		
three-cancer	ENSG00000131374	TBC1D5	OV	1	1	0		
three-cancer	ENSG00000131374	TBC1D5	UCEC	1	1	0		
three-cancer	ENSG00000131375	CAPN7	UCEC	1	0	1		
three-cancer	ENSG00000131378	RFTN1	CONTROL	1	0	1		
three-cancer	ENSG00000131378	RFTN1	OV	1	0	1		
three-cancer	ENSG00000131378	RFTN1	PRAD	1	0	1		
three-cancer	ENSG00000131389	SLC6A6	CONTROL	1	0	1		
three-cancer	ENSG00000131467	PSME3	CONTROL	1	0	1		
three-cancer	ENSG00000131469	RPL27	UCEC	1	0	1		
three-cancer	ENSG00000131473	ACLY	CONTROL	1	0	1		
three-cancer	ENSG00000131473	ACLY	OV	1	0	1		
three-cancer	ENSG00000131473	ACLY	UCEC	1	0	1		
three-cancer	ENSG00000131504	DIAPH1	PRAD	1	1	0		
three-cancer	ENSG00000131504	DIAPH1	UCEC	1	1	0		
three-cancer	ENSG00000131507	NDFIP1	UCEC	1	1	0		
three-cancer	ENSG00000131508	UBE2D2	CONTROL	1	0	1		
three-cancer	ENSG00000131634	TMEM204	CONTROL	1	1	0		
three-cancer	ENSG00000131778	CHD1L	UCEC	1	1	0		
three-cancer	ENSG00000131828	PDHA1	OV	1	0	1		
three-cancer	ENSG00000131828	PDHA1	UCEC	1	1	0		
three-cancer	ENSG00000131899	LLGL1	OV	1	1	0		
three-cancer	ENSG00000131941	RHPN2	OV	1	1	0		
three-cancer	ENSG00000131979	GCH1	CONTROL	1	1	0		
three-cancer	ENSG00000131981	LGALS3	UCEC	1	0	1		
three-cancer	ENSG00000132005	RFX1	CONTROL	1	1	0		
three-cancer	ENSG00000132005	RFX1	OV	1	0	1		
three-cancer	ENSG00000132005	RFX1	PRAD	1	1	0		
three-cancer	ENSG00000132017	DCAF15	CONTROL	1	0	1		
three-cancer	ENSG00000132017	DCAF15	OV	1	0	1		
three-cancer	ENSG00000132153	DHX30	OV	1	0	1		
three-cancer	ENSG00000132153	DHX30	UCEC	1	0	1		
three-cancer	ENSG00000132294	EFR3A	UCEC	1	1	0		
three-cancer	ENSG00000132305	IMMT	OV	1	0	1		
three-cancer	ENSG00000132305	IMMT	PRAD	1	0	1		
three-cancer	ENSG00000132341	RAN	UCEC	1	0	1		
three-cancer	ENSG00000132359	RAP1GAP2	CONTROL	1	0	1		TRUE
three-cancer	ENSG00000132376	INPP5K	OV	1	0	1		
three-cancer	ENSG00000132382	MYBBP1A	UCEC	1	1	0		
three-cancer	ENSG00000132432	SEC61G	UCEC	1	0	1		
three-cancer	ENSG00000132466	ANKRD17	UCEC	1	0	1		
three-cancer	ENSG00000132507	EIF5A	PRAD	1	0	1		
three-cancer	ENSG00000132507	EIF5A	UCEC	1	0	1		
three-cancer	ENSG00000132535	DLG4	UCEC	1	1	0		
three-cancer	ENSG00000132561	MATN2	CONTROL	1	1	0		
three-cancer	ENSG00000132581	SDF2	CONTROL	1	0	1		
three-cancer	ENSG00000132604	TERF2	CONTROL	1	0	1		
three-cancer	ENSG00000132646	PCNA	OV	1	0	1		
three-cancer	ENSG00000132646	PCNA	PRAD	1	0	1		
three-cancer	ENSG00000132680	KHDC4	CONTROL	1	0	1		
three-cancer	ENSG00000132693	CRP	UCEC	1	1	0		
three-cancer	ENSG00000132694	ARHGEF11	CONTROL	1	0	1		
three-cancer	ENSG00000132746	ALDH3B2	UCEC	1	1	0		
three-cancer	ENSG00000132780	NASP	UCEC	1	0	1		
three-cancer	ENSG00000132906	CASP9	OV	1	1	0		
three-cancer	ENSG00000132953	XPO4	CONTROL	1	0	1		
three-cancer	ENSG00000132963	POMP	OV	1	0	1		
three-cancer	ENSG00000132970	WASF3	UCEC	1	1	0		
three-cancer	ENSG00000132972	RNF17	PRAD	1	1	0		
three-cancer	ENSG00000133019	CHRM3	CONTROL	1	1	0		
three-cancer	ENSG00000133026	MYH10	CONTROL	1	1	0		
three-cancer	ENSG00000133103	COG6	CONTROL	1	1	0		
three-cancer	ENSG00000133106	EPSTI1	CONTROL	1	1	0		
three-cancer	ENSG00000133114	GPALPP1	CONTROL	1	0	1		
three-cancer	ENSG00000133114	GPALPP1	PRAD	1	0	1		
three-cancer	ENSG00000133115	STOML3	OV	1	1	0		
three-cancer	ENSG00000133243	BTBD2	OV	1	1	0		
three-cancer	ENSG00000133318	RTN3	UCEC	1	1	0		
three-cancer	ENSG00000133321	PLAAT4	OV	1	0	1		
three-cancer	ENSG00000133393	FOPNL	CONTROL	1	0	1		
three-cancer	ENSG00000133561	GIMAP6	OV	1	0	1		
three-cancer	ENSG00000133606	MKRN1	CONTROL	1	1	0		
three-cancer	ENSG00000133639	BTG1	OV	1	0	1		
three-cancer	ENSG00000133639	BTG1	UCEC	1	0	1		
three-cancer	ENSG00000133789	SWAP70	PRAD	1	0	1		
three-cancer	ENSG00000133789	SWAP70	UCEC	1	0	1		
three-cancer	ENSG00000133805	AMPD3	UCEC	1	1	0		
three-cancer	ENSG00000133816	MICAL2	OV	1	0	1		
three-cancer	ENSG00000133835	HSD17B4	CONTROL	1	0	1		
three-cancer	ENSG00000133858	ZFC3H1	PRAD	1	0	1		
three-cancer	ENSG00000133872	SARAF	UCEC	1	0	1		
three-cancer	ENSG00000133884	DPF2	OV	1	0	1		
three-cancer	ENSG00000133884	DPF2	UCEC	1	0	1		
three-cancer	ENSG00000134001	EIF2S1	CONTROL	1	0	1		
three-cancer	ENSG00000134001	EIF2S1	UCEC	1	0	1		
three-cancer	ENSG00000134014	ELP3	CONTROL	1	0	1		
three-cancer	ENSG00000134014	ELP3	UCEC	1	0	1		
three-cancer	ENSG00000134058	CDK7	CONTROL	1	0	1		
three-cancer	ENSG00000134086	VHL	OV	1	0	1		
three-cancer	ENSG00000134160	TRPM1	OV	1	1	0		
three-cancer	ENSG00000134186	PRPF38B	PRAD	1	0	1		
three-cancer	ENSG00000134186	PRPF38B	UCEC	1	0	1		
three-cancer	ENSG00000134216	CHIA	OV	1	1	0		
three-cancer	ENSG00000134240	HMGCS2	UCEC	1	1	0		
three-cancer	ENSG00000134242	PTPN22	CONTROL	1	0	1		
three-cancer	ENSG00000134248	LAMTOR5	OV	1	0	1		
three-cancer	ENSG00000134248	LAMTOR5	PRAD	1	0	1		
three-cancer	ENSG00000134255	CEPT1	CONTROL	1	0	1		
three-cancer	ENSG00000134291	TMEM106C	CONTROL	1	0	1		
three-cancer	ENSG00000134294	SLC38A2	UCEC	1	0	1		
three-cancer	ENSG00000134313	KIDINS220	OV	1	1	0		
three-cancer	ENSG00000134318	ROCK2	OV	1	1	0		
three-cancer	ENSG00000134321	RSAD2	CONTROL	1	1	0		
three-cancer	ENSG00000134333	LDHA	OV	1	0	1		
three-cancer	ENSG00000134352	IL6ST	OV	1	1	0		
three-cancer	ENSG00000134371	CDC73	CONTROL	1	0	1		
three-cancer	ENSG00000134375	TIMM17A	CONTROL	1	1	0		
three-cancer	ENSG00000134419	RPS15A	OV	1	0	1		
three-cancer	ENSG00000134419	RPS15A	UCEC	1	0	1		
three-cancer	ENSG00000134440	NARS	OV	1	0	1		
three-cancer	ENSG00000134440	NARS	UCEC	1	0	1		
three-cancer	ENSG00000134453	RBM17	PRAD	1	0	1		
three-cancer	ENSG00000134453	RBM17	UCEC	1	0	1		
three-cancer	ENSG00000134516	DOCK2	PRAD	1	0	1		
three-cancer	ENSG00000134516	DOCK2	UCEC	1	0	1		
three-cancer	ENSG00000134533	RERG	OV	1	1	0		
three-cancer	ENSG00000134569	LRP4	OV	1	1	0		
three-cancer	ENSG00000134602	STK26	CONTROL	1	0	1		
three-cancer	ENSG00000134602	STK26	UCEC	1	1	0		
three-cancer	ENSG00000134644	PUM1	CONTROL	1	0	1		
three-cancer	ENSG00000134644	PUM1	OV	1	0	1		
three-cancer	ENSG00000134644	PUM1	UCEC	1	0	1		
three-cancer	ENSG00000134684	YARS	CONTROL	1	0	1		
three-cancer	ENSG00000134684	YARS	UCEC	1	1	0		
three-cancer	ENSG00000134825	TMEM258	UCEC	1	1	0		
three-cancer	ENSG00000134871	COL4A2	OV	1	1	0		
three-cancer	ENSG00000134884	ARGLU1	CONTROL	1	0	1		
three-cancer	ENSG00000134900	TPP2	PRAD	1	1	0		
three-cancer	ENSG00000134905	CARS2	CONTROL	1	0	1		
three-cancer	ENSG00000134917	ADAMTS8	UCEC	1	1	0		
three-cancer	ENSG00000134982	APC	UCEC	1	0	1		
three-cancer	ENSG00000134996	OSTF1	CONTROL	1	1	0		
three-cancer	ENSG00000135045	C9orf40	CONTROL	1	1	0		
three-cancer	ENSG00000135046	ANXA1	OV	1	0	1		
three-cancer	ENSG00000135049	AGTPBP1	CONTROL	1	0	1		
three-cancer	ENSG00000135049	AGTPBP1	PRAD	1	0	1		
three-cancer	ENSG00000135063	FAM189A2	UCEC	1	1	0		
three-cancer	ENSG00000135100	HNF1A	UCEC	1	1	0		
three-cancer	ENSG00000135148	TRAFD1	CONTROL	1	1	0		
three-cancer	ENSG00000135218	CD36	OV	1	1	0		
three-cancer	ENSG00000135250	SRPK2	UCEC	1	0	1		
three-cancer	ENSG00000135269	TES	OV	1	0	1		
three-cancer	ENSG00000135272	MDFIC	OV	1	0	1		
three-cancer	ENSG00000135272	MDFIC	UCEC	1	0	1		
three-cancer	ENSG00000135341	MAP3K7	CONTROL	1	1	0		
three-cancer	ENSG00000135341	MAP3K7	OV	1	1	0		
three-cancer	ENSG00000135387	CAPRIN1	CONTROL	1	0	1		
three-cancer	ENSG00000135406	PRPH	CONTROL	1	1	0		
three-cancer	ENSG00000135437	RDH5	OV	1	1	0		
three-cancer	ENSG00000135446	CDK4	CONTROL	1	1	0		
three-cancer	ENSG00000135446	CDK4	OV	1	0	1		
three-cancer	ENSG00000135446	CDK4	UCEC	1	1	0		
three-cancer	ENSG00000135457	TFCP2	CONTROL	1	0	1		
three-cancer	ENSG00000135480	KRT7	OV	1	1	0		
three-cancer	ENSG00000135486	HNRNPA1	OV	1	0	1		
three-cancer	ENSG00000135486	HNRNPA1	UCEC	1	0	1		
three-cancer	ENSG00000135596	MICAL1	PRAD	1	0	1		
three-cancer	ENSG00000135596	MICAL1	UCEC	1	0	1		
three-cancer	ENSG00000135597	REPS1	CONTROL	1	0	1		
three-cancer	ENSG00000135604	STX11	CONTROL	1	1	0		
three-cancer	ENSG00000135677	GNS	CONTROL	1	1	0		
three-cancer	ENSG00000135679	MDM2	CONTROL	1	1	0		
three-cancer	ENSG00000135723	FHOD1	OV	1	1	0		
three-cancer	ENSG00000135740	SLC9A5	PRAD	1	1	0		
three-cancer	ENSG00000135766	EGLN1	CONTROL	1	0	1		
three-cancer	ENSG00000135801	TAF5L	CONTROL	1	1	0		
three-cancer	ENSG00000135838	NPL	OV	1	1	0		
three-cancer	ENSG00000135870	RC3H1	CONTROL	1	0	1		
three-cancer	ENSG00000135899	SP110	OV	1	0	1		
three-cancer	ENSG00000135900	MRPL44	CONTROL	1	0	1		
three-cancer	ENSG00000135903	PAX3	UCEC	1	1	0		
three-cancer	ENSG00000135905	DOCK10	OV	1	1	0		
three-cancer	ENSG00000135913	USP37	CONTROL	1	0	1		
three-cancer	ENSG00000135924	DNAJB2	UCEC	1	1	0		
three-cancer	ENSG00000135926	TMBIM1	UCEC	1	1	0		
three-cancer	ENSG00000135930	EIF4E2	OV	1	0	1		
three-cancer	ENSG00000135930	EIF4E2	UCEC	1	0	1		
three-cancer	ENSG00000135976	ANKRD36	CONTROL	1	0	1		
three-cancer	ENSG00000136003	ISCU	UCEC	1	1	0		
three-cancer	ENSG00000136044	APPL2	CONTROL	1	0	1		
three-cancer	ENSG00000136048	DRAM1	CONTROL	1	1	0		
three-cancer	ENSG00000136068	FLNB	OV	1	0	1		
three-cancer	ENSG00000136100	VPS36	CONTROL	1	0	1		
three-cancer	ENSG00000136141	LRCH1	OV	1	1	0		
three-cancer	ENSG00000136152	COG3	CONTROL	1	0	1		
three-cancer	ENSG00000136167	LCP1	CONTROL	1	0	1		
three-cancer	ENSG00000136167	LCP1	UCEC	1	0	1		
three-cancer	ENSG00000136205	TNS3	UCEC	1	0	1		
three-cancer	ENSG00000136238	RAC1	OV	1	1	0		
three-cancer	ENSG00000136238	RAC1	UCEC	1	1	0		
three-cancer	ENSG00000136240	KDELR2	UCEC	1	0	1		
three-cancer	ENSG00000136247	ZDHHC4	CONTROL	1	1	0		
three-cancer	ENSG00000136247	ZDHHC4	OV	1	1	0		
three-cancer	ENSG00000136247	ZDHHC4	UCEC	1	1	0		
three-cancer	ENSG00000136261	BZW2	CONTROL	1	0	1		
three-cancer	ENSG00000136261	BZW2	UCEC	1	0	1		
three-cancer	ENSG00000136279	DBNL	OV	1	1	0		
three-cancer	ENSG00000136286	MYO1G	PRAD	1	0	1		
three-cancer	ENSG00000136286	MYO1G	UCEC	1	0	1		
three-cancer	ENSG00000136295	TTYH3	PRAD	1	1	0		
three-cancer	ENSG00000136378	ADAMTS7	UCEC	1	1	0		
three-cancer	ENSG00000136448	NMT1	CONTROL	1	1	0		
three-cancer	ENSG00000136450	SRSF1	UCEC	1	0	1		
three-cancer	ENSG00000136485	DCAF7	CONTROL	1	1	0		
three-cancer	ENSG00000136490	LIMD2	CONTROL	1	0	1		
three-cancer	ENSG00000136490	LIMD2	UCEC	1	0	1		
three-cancer	ENSG00000136527	TRA2B	CONTROL	1	0	1		
three-cancer	ENSG00000136527	TRA2B	PRAD	1	0	1		
three-cancer	ENSG00000136527	TRA2B	UCEC	1	0	1		
three-cancer	ENSG00000136536	MARCH7	CONTROL	1	0	1		
three-cancer	ENSG00000136560	TANK	CONTROL	1	0	1		
three-cancer	ENSG00000136574	GATA4	OV	1	1	0		
three-cancer	ENSG00000136628	EPRS	OV	1	0	1		
three-cancer	ENSG00000136628	EPRS	UCEC	1	0	1		
three-cancer	ENSG00000136717	BIN1	OV	1	0	1		
three-cancer	ENSG00000136718	IMP4	OV	1	0	1		
three-cancer	ENSG00000136718	IMP4	UCEC	1	0	1		
three-cancer	ENSG00000136731	UGGT1	OV	1	1	0		
three-cancer	ENSG00000136738	STAM	UCEC	1	0	1		
three-cancer	ENSG00000136807	CDK9	OV	1	0	1		
three-cancer	ENSG00000136810	TXN	OV	1	0	1		
three-cancer	ENSG00000136819	C9orf78	CONTROL	1	1	0		
three-cancer	ENSG00000136840	ST6GALNAC4	CONTROL	1	1	0		
three-cancer	ENSG00000136854	STXBP1	UCEC	1	1	0		
three-cancer	ENSG00000136856	SLC2A8	UCEC	1	1	0		
three-cancer	ENSG00000136878	USP20	CONTROL	1	1	0		
three-cancer	ENSG00000136888	ATP6V1G1	CONTROL	1	1	0		
three-cancer	ENSG00000136891	TEX10	UCEC	1	0	1		
three-cancer	ENSG00000136930	PSMB7	PRAD	1	0	1		
three-cancer	ENSG00000136935	GOLGA1	OV	1	1	0		
three-cancer	ENSG00000136938	ANP32B	UCEC	1	1	0		
three-cancer	ENSG00000136942	RPL35	UCEC	1	0	1		
three-cancer	ENSG00000136950	ARPC5L	PRAD	1	0	1		
three-cancer	ENSG00000137055	PLAA	CONTROL	1	1	0		
three-cancer	ENSG00000137055	PLAA	PRAD	1	0	1		
three-cancer	ENSG00000137055	PLAA	UCEC	1	0	1		
three-cancer	ENSG00000137075	RNF38	OV	1	1	0		
three-cancer	ENSG00000137075	RNF38	UCEC	1	0	1		
three-cancer	ENSG00000137076	TLN1	OV	1	1	0		
three-cancer	ENSG00000137076	TLN1	UCEC	1	1	0		
three-cancer	ENSG00000137106	GRHPR	OV	1	0	1		
three-cancer	ENSG00000137133	HINT2	CONTROL	1	0	1		
three-cancer	ENSG00000137145	DENND4C	CONTROL	1	0	1		
three-cancer	ENSG00000137154	RPS6	UCEC	1	0	1		
three-cancer	ENSG00000137177	KIF13A	CONTROL	1	0	1		
three-cancer	ENSG00000137193	PIM1	UCEC	1	0	1		
three-cancer	ENSG00000137204	SLC22A7	UCEC	1	1	0		
three-cancer	ENSG00000137270	GCM1	CONTROL	1	1	0		
three-cancer	ENSG00000137409	MTCH1	PRAD	1	0	1		
three-cancer	ENSG00000137492	THAP12	CONTROL	1	0	1		
three-cancer	ENSG00000137507	LRRC32	PRAD	1	1	0		
three-cancer	ENSG00000137547	MRPL15	CONTROL	1	1	0		
three-cancer	ENSG00000137574	TGS1	OV	1	1	0		
three-cancer	ENSG00000137574	TGS1	PRAD	1	0	1		
three-cancer	ENSG00000137574	TGS1	UCEC	1	1	0		
three-cancer	ENSG00000137628	DDX60	CONTROL	1	1	0		
three-cancer	ENSG00000137628	DDX60	UCEC	1	1	0		
three-cancer	ENSG00000137752	CASP1	OV	1	0	1		
three-cancer	ENSG00000137752	CASP1	PRAD	1	0	1		
three-cancer	ENSG00000137752	CASP1	UCEC	1	0	1		
three-cancer	ENSG00000137767	SQOR	PRAD	1	0	1		
three-cancer	ENSG00000137770	CTDSPL2	UCEC	1	0	1		
three-cancer	ENSG00000137804	NUSAP1	CONTROL	1	1	0		
three-cancer	ENSG00000137815	RTF1	CONTROL	1	0	1		
three-cancer	ENSG00000137817	PARP6	OV	1	1	0		
three-cancer	ENSG00000137818	RPLP1	OV	1	0	1		
three-cancer	ENSG00000137818	RPLP1	UCEC	1	0	1		
three-cancer	ENSG00000137822	TUBGCP4	CONTROL	1	0	1		
three-cancer	ENSG00000137831	UACA	CONTROL	1	1	0		
three-cancer	ENSG00000137841	PLCB2	CONTROL	1	0	1		
three-cancer	ENSG00000137841	PLCB2	OV	1	0	1		
three-cancer	ENSG00000137841	PLCB2	UCEC	1	0	1		
three-cancer	ENSG00000137845	ADAM10	PRAD	1	1	0		
three-cancer	ENSG00000137857	DUOX1	OV	1	1	0		
three-cancer	ENSG00000137876	RSL24D1	PRAD	1	0	1		
three-cancer	ENSG00000137876	RSL24D1	UCEC	1	0	1		
three-cancer	ENSG00000137947	GTF2B	UCEC	1	0	1		
three-cancer	ENSG00000137962	ARHGAP29	PRAD	1	1	0		
three-cancer	ENSG00000138071	ACTR2	CONTROL	1	1	0		
three-cancer	ENSG00000138071	ACTR2	PRAD	1	1	0		
three-cancer	ENSG00000138071	ACTR2	UCEC	1	1	0		
three-cancer	ENSG00000138073	PREB	CONTROL	1	0	1		
three-cancer	ENSG00000138073	PREB	OV	1	0	1		
three-cancer	ENSG00000138079	SLC3A1	OV	1	1	0		
three-cancer	ENSG00000138119	MYOF	OV	1	0	1		
three-cancer	ENSG00000138166	DUSP5	CONTROL	1	1	0		
three-cancer	ENSG00000138246	DNAJC13	CONTROL	1	0	1		
three-cancer	ENSG00000138279	ANXA7	UCEC	1	1	0		
three-cancer	ENSG00000138286	FAM149B1	PRAD	1	1	0		
three-cancer	ENSG00000138286	FAM149B1	UCEC	1	1	0		
three-cancer	ENSG00000138316	ADAMTS14	OV	1	1	0		
three-cancer	ENSG00000138326	RPS24	UCEC	1	0	1		
three-cancer	ENSG00000138363	ATIC	OV	1	0	1		
three-cancer	ENSG00000138375	SMARCAL1	CONTROL	1	0	1		
three-cancer	ENSG00000138380	CARF	OV	1	1	0		
three-cancer	ENSG00000138380	CARF	UCEC	1	1	0		
three-cancer	ENSG00000138385	SSB	CONTROL	1	0	1		
three-cancer	ENSG00000138386	NAB1	CONTROL	1	0	1		
three-cancer	ENSG00000138386	NAB1	OV	1	1	0		
three-cancer	ENSG00000138430	OLA1	CONTROL	1	0	1		
three-cancer	ENSG00000138443	ABI2	CONTROL	1	0	1		
three-cancer	ENSG00000138443	ABI2	UCEC	1	1	0		
three-cancer	ENSG00000138449	SLC40A1	UCEC	1	1	0		
three-cancer	ENSG00000138468	SENP7	CONTROL	1	0	1		
three-cancer	ENSG00000138495	COX17	UCEC	1	1	0		
three-cancer	ENSG00000138622	HCN4	UCEC	1	1	0		
three-cancer	ENSG00000138629	UBL7	PRAD	1	0	1		
three-cancer	ENSG00000138641	HERC3	CONTROL	1	0	1		
three-cancer	ENSG00000138642	HERC6	CONTROL	1	1	0		
three-cancer	ENSG00000138642	HERC6	UCEC	1	1	0		
three-cancer	ENSG00000138668	HNRNPD	UCEC	1	0	1		
three-cancer	ENSG00000138722	MMRN1	CONTROL	1	0	1		
three-cancer	ENSG00000138738	PRDM5	UCEC	1	1	0		
three-cancer	ENSG00000138757	G3BP2	OV	1	1	0		
three-cancer	ENSG00000138757	G3BP2	UCEC	1	1	0		
three-cancer	ENSG00000138771	SHROOM3	UCEC	1	1	0		
three-cancer	ENSG00000138794	CASP6	OV	1	1	0		
three-cancer	ENSG00000138798	EGF	CONTROL	1	0	1		
three-cancer	ENSG00000138801	PAPSS1	CONTROL	1	0	1		TRUE
three-cancer	ENSG00000138801	PAPSS1	UCEC	1	1	0		TRUE
three-cancer	ENSG00000138821	SLC39A8	UCEC	1	1	0		
three-cancer	ENSG00000138835	RGS3	CONTROL	1	0	1		
three-cancer	ENSG00000138867	GUCD1	CONTROL	1	1	0		
three-cancer	ENSG00000138867	GUCD1	OV	1	0	1		
three-cancer	ENSG00000138964	PARVG	CONTROL	1	0	1		
three-cancer	ENSG00000139112	GABARAPL1	PRAD	1	0	1		
three-cancer	ENSG00000139112	GABARAPL1	UCEC	1	0	1		
three-cancer	ENSG00000139163	ETNK1	UCEC	1	0	1		
three-cancer	ENSG00000139218	SCAF11	UCEC	1	1	0		
three-cancer	ENSG00000139219	COL2A1	UCEC	1	1	0		
three-cancer	ENSG00000139318	DUSP6	CONTROL	1	1	0		
three-cancer	ENSG00000139323	POC1B	UCEC	1	0	1		
three-cancer	ENSG00000139433	GLTP	UCEC	1	0	1		
three-cancer	ENSG00000139496	NUP58	CONTROL	1	0	1		
three-cancer	ENSG00000139505	MTMR6	UCEC	1	0	1		
three-cancer	ENSG00000139546	TARBP2	OV	1	1	0		
three-cancer	ENSG00000139597	N4BP2L1	UCEC	1	1	0		
three-cancer	ENSG00000139613	SMARCC2	CONTROL	1	0	1		
three-cancer	ENSG00000139684	ESD	UCEC	1	0	1		
three-cancer	ENSG00000139697	SBNO1	UCEC	1	0	1		
three-cancer	ENSG00000139718	SETD1B	CONTROL	1	0	1		
three-cancer	ENSG00000139722	VPS37B	CONTROL	1	0	1		
three-cancer	ENSG00000139725	RHOF	CONTROL	1	0	1		
three-cancer	ENSG00000139726	DENR	CONTROL	1	0	1		
three-cancer	ENSG00000139726	DENR	OV	1	0	1		
three-cancer	ENSG00000139726	DENR	UCEC	1	0	1		
three-cancer	ENSG00000139737	SLAIN1	UCEC	1	0	1		
three-cancer	ENSG00000139842	CUL4A	UCEC	1	0	1		
three-cancer	ENSG00000139970	RTN1	OV	1	1	0		
three-cancer	ENSG00000139970	RTN1	UCEC	1	1	0		
three-cancer	ENSG00000139990	DCAF5	PRAD	1	1	0		
three-cancer	ENSG00000139990	DCAF5	UCEC	1	1	0		
three-cancer	ENSG00000140105	WARS	CONTROL	1	1	0		
three-cancer	ENSG00000140153	WDR20	CONTROL	1	0	1		
three-cancer	ENSG00000140153	WDR20	UCEC	1	0	1		
three-cancer	ENSG00000140199	SLC12A6	UCEC	1	0	1		
three-cancer	ENSG00000140259	MFAP1	CONTROL	1	0	1		
three-cancer	ENSG00000140279	DUOX2	OV	1	1	0		
three-cancer	ENSG00000140307	GTF2A2	CONTROL	1	1	0		
three-cancer	ENSG00000140307	GTF2A2	OV	1	1	0		
three-cancer	ENSG00000140350	ANP32A	CONTROL	1	0	1		
three-cancer	ENSG00000140350	ANP32A	UCEC	1	0	1		
three-cancer	ENSG00000140368	PSTPIP1	OV	1	0	1		
three-cancer	ENSG00000140368	PSTPIP1	UCEC	1	0	1		
three-cancer	ENSG00000140382	HMG20A	CONTROL	1	0	1		
three-cancer	ENSG00000140416	TPM1	UCEC	1	1	0		
three-cancer	ENSG00000140455	USP3	CONTROL	1	0	1		
three-cancer	ENSG00000140455	USP3	PRAD	1	0	1		
three-cancer	ENSG00000140464	PML	CONTROL	1	1	0		
three-cancer	ENSG00000140479	PCSK6	UCEC	1	1	0		
three-cancer	ENSG00000140521	POLG	OV	1	0	1		
three-cancer	ENSG00000140521	POLG	UCEC	1	0	1		
three-cancer	ENSG00000140527	WDR93	CONTROL	1	1	0		
three-cancer	ENSG00000140553	UNC45A	UCEC	1	1	0		
three-cancer	ENSG00000140600	SH3GL3	OV	1	1	0		
three-cancer	ENSG00000140600	SH3GL3	UCEC	1	1	0		
three-cancer	ENSG00000140612	SEC11A	CONTROL	1	0	1		
three-cancer	ENSG00000140632	GLYR1	CONTROL	1	1	0		
three-cancer	ENSG00000140632	GLYR1	OV	1	1	0		
three-cancer	ENSG00000140678	ITGAX	PRAD	1	0	1		
three-cancer	ENSG00000140694	PARN	CONTROL	1	1	0		
three-cancer	ENSG00000140718	FTO	CONTROL	1	0	1		
three-cancer	ENSG00000140750	ARHGAP17	UCEC	1	1	0		
three-cancer	ENSG00000140798	ABCC12	OV	1	1	0		
